Decision Journal  v3,,,,,,,,,,,,
결과 보기 전에 기록.   진입 = 거래#에 1·2·3   |   비진입 = -,,,,,,,,,,,,
시각·방향은 비진입만 입력 (진입은 PD에서 자동 반영),,,,,,,,,,,,
"노란 칸(zone명확성 · zone) = 하루 1회, 10:10 시점 기준.   ★ 3 = 가장 나쁨",,,,,,,,,,,,
zone(10:10)은 수정 금지. 장중에 바뀌면 옆 칸에 따로 — 두 칸이 다른 것 자체가 데이터,,,,,,,,,"P1: 더블탑바텀
P2: 박스응집 (A: 두 zone 사이/ B: zone을 중앙)
P3: grind
",,,
,,,,,,,,,,,,
날짜,시각,거래#,방향,zone명확성,근거,zone,(zone_수정),Reflection,,마켓 타입,청산충동시간,청산충동이유
260720,102358,1,L,3,zone1-2 왕복 하다가 zone1 에서 밑으로 밀렸다. 하지만 더블바텀 하고 다시 올라와서 zone1 위까지 뚫는거 보니 강세가 zone2 까지 갈듯,z1: 28940-28960 / z2: 28990-29000,,,P1,,,
,102840,2,S,,zone1 위에서 브레이크 잡으며 LH 밀려서 zone1 밑으로 뚫고 내려온걸 보니 zone2 까지 다시 왕복? ,,,,,,,
260721,101311,-,L,2,1분봉으로 봤을때도 그렇고 V 반등 시점인듯. zone2 뚫고 1까지 가나?,z1: 29130-29140 / z2: 29090-29110,,,,,,
,102143,1,S,,zone 1-2 왕복 하다가 zone3 까지 위로 크게 뛰었는데 다시 zone1 (중간 zone) 으로 복귀. 그 이후에 다시 zone3 로 가서 zone1-3 왕복 할수도 있겠다고 생각했지만 zone3 로 다시 튀어 오르지 못하고 그대로 밑으로 밀리는거 봐서 zone2 로 갈거라 예상하고 엔트리,z3: 29170-29180,,z2 까지 도달하지 못함,P3,,,
,102533,2,L,,zone1(확장) 위에서 걸려있는데 점점 위로 밀리는거 보니 zone1 을 밑으로 뚫고 나갈 생각보다는 위로 가서 다시 zone3 로 갈 생각인거 같음,,z1 확장: 29120-29140 / z2 변경: 29080-29100,zone 수정,,,,
,102940,3,S,,zone4 찍고 내려오는데 다시 zone4 에서 머무르려는 시도가 있었지만 그게 zone 깊이 가지못하고 경계만 치고 다시 내려옴. 그리고 점점 밑으로 밀리는걸 보니 위로 신고가 갱신 보다는 zone3 로의 복귀일듯. 그리고 HOD 부근이기도 해서 고점 방어가 더 강할것으로 예상,z4: 29210-29220,,,P3,,,
260722,101352,-,L,1,z1 을 기준으로 위아래로 쳐대는 움직임 같은데.. 뭔가 이런 형태의 엔트리 셋업은 확신이 아직 없는듯,z1: 29235-29250 / z2: 29270-29280 / sr1: 29210,,,P2-B,,,
,101737,1,L,,z3 밑으로 뚫지못하고 계속 하단에 걸려서 튕겨서 올라오는걸 보면 z1 으로 돌아갈듯,sr1 -> z3: 29200-29210 격상,,오늘의 메인이 z1 처럼 보임. 그리고 오래 이어진 하방 트렌드 후 브레이크가 명확해 보여서,,,,
,102213,-,S,,z2 에서 rejection 하는거 처럼 보여진다.. 하지만 왠지 모르게 위로 뚫을지도 모를거 같다는 생각이 든다,,,,,,,
,102508,2,L,,z2 하방경계 부터 엄청 크게 찍어 눌러짐. 그후 z3 에서 다시한번 밑으로 밀지 못하고 위로 튀어오르는 모습을 보니 다시 중앙 z1 으로 돌아갈듯 ,,z1 확장: 29230-29250,,,,,
260723,101045,-,L,1,"z2 에서 1으로 이동하다 중간에 돌아왔는데, z2 밑으로 확 가지 못하고 상단경계 쪽에 있는거 보면 다시 z1 까지 도달 할거 같다. 하지만 확신 부족",sr1: 28800/ z1: 28760-28780/ z2: 28710-28730/ sr2: 28680,,,,,,
,101200,1,L,,z2 밑으로 두번 뚫기를 시도했으나 둘다 실패. 그리고 두번째가 더 높은 LH. (자주 보이는 패턴),,,zone 뚫고 나간 후 LH/HL 갱신하며 반대로 = 이 패턴 요즘 자주 눈에 띄는거 같다,P1,,,
,101349,-,S,,zone 사이간 이동하다가 중간에 멈춘 상황. 아마 진행하던 방향으로 결국 도달까지는 하지 않을까? 왠지 5:5 같음,,,,,,,
,101944,-,L,,z2 를 중앙에놓고 위아래로 치는 패턴이라 저점에서 잡아서 롱? 근데 이 패턴은 아직 확신이 없음,,,,P2-B,,,
,102320,2,S,,z1 깊숙히 윗쪽으로 뚫으려는 시도가 있었지만 크게 저지되고 밑으로 강하게 내려옴. z2 까지 밀려 내려올 가능성이 중간에 멈출 가능성보다 높지 않을까,,,,,,,
,103031,3,L,,"z2 밑으로 계속 빠져나가려고 시도했는데 오랫동안 grind 했지만 결국 28690 선을 뚫고 가지 못함. 그러는동안 계속해서 HL 올라오면서, z2 위로도 여러번 가려는 시도가 있었지만 번번히 막혔음. 보통 바로 다시 z2 안으로 끌려들어왔는데 이번에는 위에서 좀 버티는거 같아서, 이번이 z1 까지 올라가는 타이밍 이라고 배팅.",,sr2 변경: 28690,오늘은 zone 간의 이동보다 zone에 붙어있는 힘이 더 강한듯?,P1,,,
260724,102034,1,L,3,"z5 에서 z1 까지 한숨에 이동한후 z1 밑에서 LOD 터치 후, HL 기록하며 위로 가는 패턴",z1: 28320-28330 / z2: 28350-28360 / z3: 28380-28390/ z4: 28410-28430 / z5: 28450-28470,,,P1,,,
,102312,-,L,,z3 의 힘이 약하다고 느껴짐. 응집보다는 sr 처럼 튕기는 구간인데.. 지금 z2 부터 z4 까지 이동하는 큰 트렌드라고 가정하고 z3 에서 잠시 grind 하는 모습인데 그 grind 가 상승채널로 점점 위로 밀리는 모습. 그래서 z4 까지 도달 할거라고 생각하고 롱. 하지만 뭔가 새로운 논리 인거 같아서 아직 확신이 없음,,,,P3,,,
,102556,2,S,,이전 비진입 처럼 z3 에서 잠시 grind 한다는 전제로 할때 이번에는 하방채널을 보이면서 v2 로 밀릴듯? z4 에서 V반등 한듯한 움직임,,,z3 에서 실제로 응집하기 시작,P3,,,
,102730,-,S,,z3 을 중앙에 두고 위아래로 치며 응집한다는 전제,,,,P2-B,,,
